Season,EpisodeNumber,Episode,Inventions,InventionImageURL,Scheme,Failure
2,1,"""The Lake Nose Monster""",Doofenshmirtz's SubmarineDoofenshmirtz's Submarine,https://static.wikia.nocookie.net/phineasandferb/images/c/cf/Zinc_processing_machine.jpg/revision/latest/scale-to-width-down/200?cb=20120331141502,He plans to steal all the zinc fromLake Noseand use it in some evil way that he hasn't figured out yet.,It crashes into a trench and the engine fails.
2,2,"""Interview With a Platypus""",B.O.A.T. (Buoyancy Operated Aquatic Transport)Buoyancy Operated Aquatic Transport,https://static.wikia.nocookie.net/phineasandferb/images/6/61/BO-AT.jpg/revision/latest/scale-to-width-down/200?cb=20130410001053,He plans to flood the streets so that everyone will have to buy and use his BOAT (Buoyancy Operated Aquatic Transport) in order to get around.,"Perrythwarts this by opening the M.O.A.T. (Metropolitan Oval Aquatic Trench), which surroundsDanvilleand brings the water aroundthe Tri-State area."
2,3,"""Tip of the Day""",Universal Delete ButtonUniversal Delete ButtonRead-My-Mind-inatorRead-My-Mind-inatorDelete-From-My-Mind-inatorDelete-From-My-Mind-Inator,https://static.wikia.nocookie.net/phineasandferb/images/a/a0/Universal_Delete_Button.jpg/revision/latest/scale-to-width-down/200?cb=20130415214722,"He uses Perry's Universal Delete Button to combine with his Thought Projection Helmet to erase everyone's mind of an embarrassing video they found of him. However, whoever is not aware of what he is thinking of will be unaffected.",Dr. Doofenshmirtz is thinking about aglets instead of the video when he pushes the button to activate the Delete From My Mind-Inator. He then destroys it by throwing it to the floor.
2,4,"""Attack of the 50 Foot Sister""",Smell-inatorSmell-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He plans to get rid of the people at themid-summer festivalby putting a liquid that smells like dirty diapers into his Smell-inator, thus getting everyone to leave because of the smell.","Doof, not realizing it, accidentally puts in agrowth formulathat fell into his hands afterBlanca DishonandP. P. Otterhad a fight over it, and a hit against the machine after he put the formula into it causes it to enlarge the entire universe."
2,5,"""Backyard Aquarium""",Hot-Dog-Vendor-Revenge-inatorHot-Dog-Vendor-Revenge-inatorPlatypus-Secret-Agent-Arrival-In-Order-to-Foil-My-Evil-Plot-Capture-inatorPlatypus-Secret-Agent-Arrival-In-Order-to-Foil-My-Evil-Plot-Capture-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He plans to freeze the water that hot dog vendors use to boil their hot dogs, so that he can sell his bratwurst.",The machine's shot misses its original target and it is destroyed in a wave of bratwurst.
2,6,"""Day of the Living Gelatin""",Turn-Everything-Evil-inatorTurn-Everything-Evil-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He uses a ray that can turn anything, starting with Agent P, into his evil minion.","After missing Agent P, Doof calls the things he hit: a toothbrush, soap, and agelatin monster. Agent P uses the sprinklers to melt the Gelatin Monster and short out the Turn Everything Evil-Inator."
2,7,"""Elementary My Dear Stacy""",Launching Big Ben to DanvilleBig Ben in Danville,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He plans to launch Big Ben to Danville so that he can tell what time it is because his watch is too small.,"Perry escapes the trap, then climbs to the top of Big Ben, kicks Dr. Doofenshmirtz off and deactivates the launch."
2,8,"""Don't Even Blink""",Invis-inatorInvis-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","He creates an invisibility/disintegration ray to turn theFireside Girlsinvisible when they try to sell him cupcakes. He can also convert the Invisinator into a disintegrator, which he attempts to use on Perry.","After Doofenshmirtz turns it into a disintegrator, Perry reorients the machine so that it destroys its own control panel."
2,9,"""Chez Platypus""",De-Love-inator SatelliteDe-Love-inator Satellite,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",He launches a De-lovinator satellite into space to eliminate love from the Tri-State Area in case his date doesn't go well.,"Since he falls in love, he gives the remote to Perry, who destroys it. The De-Love-inator satellite falls to earth and zapsDoofenshmirtz's date, causing her to dump him."
2,10,"""Perry Lays an Egg""",Whale-Translator-inatorWhale-Translator-inatorLearning Whale Song,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","In the past, Doofensmirtz built the Whale Translator-inator to impress hisgirlfriend, who then left him for a whale. He has now taught himself whale song so he can insult some whales as revenge.","The plan succeeds, but Agent P gets bored with the pitiful scheme and leaves. Doofenshmirtz leaves the boat to chase after him, demanding to be thwarted."
