Season,EpisodeNumber,Episode,Inventions,InventionImageURL,Scheme,Failure/Destruction
3,1,"""The Great Indoors""",Rain-inator,https://static.wikia.nocookie.net/phineasandferb/images/3/34/Rain-inator.jpg/revision/latest/scale-to-width-down/200?cb=20110523103029,"He uses it to make it rain on theTri-State Areaso that he could watchEl Matador De Amorwithout soccer game interruptions. He also caused Isabella and the Fireside Girls to be unable to get a patch that day, prompting Phineas and Ferb to construct the biosphere to help her.","Perryfires a grappling hook at the bottom of the Rain-inator, and it gets carried away by a plane."
3,2,"""Canderemy""",Combine-inator,https://static.wikia.nocookie.net/phineasandferb/images/5/59/The_Combine-inator.jpg/revision/latest/scale-to-width-down/200?cb=20120731222014,He plans to combine an island and Capital of the Tri-State Area so legally he would be the ruler of the Tri-State Area.,"Normenshmirtz accidentally breaks the lever (which was apparently made out of balsa wood) off of the Combine-inator. This causes the machine to lock into overload.Roverdropped the Molecular Separator, it separated what Perry and Doofenshmirtz were attached to. Doofenshmirtz was squashed byNormand Norm got crushed by the fridge."
3,3,"""Run, Candace, Run""",,https://static.wikia.nocookie.net/phineasandferb/images/9/98/People_in_D.E.I.jpg/revision/latest/scale-to-width-down/200?cb=20140113155915,"Dr. Doofenshmirtz'sbuildingis put up for sale so he tries to convince a prospective buyer,Annabelle, who turns out to be a long lost relative of theJohnson family, that it is not worth buying, as he doesn’t want to have to ask his ex-wifeCharlenefor rent money.","Doofenshmirtz does succeed in driving Annabelle away, but when he finds out that the building will be torn down and replaced by a greeting card factory if not bought, he gives in and asks Charlene for money."
3,4,"""Last Train to Bustville""",Dodo-Bird-Incubator-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz makes an egg turn into a dodo bird egg and is convinced that it is a fierce bird-monster that can help him take over the Tri-state area, but discovers the exact opposite when the egg hatches.",He doesn't think the dodo is frightening enough.
3,5,"""Phineas' Birthday Clip-O-Rama!""",Video-Beam-Hijack-Non-inatorBlow-Itself-Up-InatorInside-Out-Inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz from using his ""non-inator"" to pre-empthis brother'sbiography from appearing on television.The latter two are from fake clips from the show.","Perry uses a laser remote that shot the front legs of Video-Beam-Hijack-Non-Inator.The Blow-Itself-Up-Inator has predictable results.Perry uses it on Doofenshmirtz and he says, ""Oh, great! Now I need to make an Outside-In-Inator!"""
3,6,"""The Belly of the Beast""",Salt Water Taffy-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Dr. Doofenshmirtz invents the Salt Water Taffy-inator to give cavities to every kid in the Tri State Area.,"Perry destroys the controls, causing Doof’s supply of taffy to be lost."
3,7,"""Moon Farm""",Moisture Suck-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz attempts to use his Moisture Suck-inator to turn his neighbor's plants brown and to lose all moisture, so that his plants will be greener by comparison.","After shooting Perry and himself, Doof figures out the plants and man are plastic."
3,8,"""Ask a Foolish Question""",Metal Unearth-inatorAll Purpose-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz loses the key to his latest invention, the All-Purpose-inator, so he makes the Metal-Unearth-inator to get it back.The All-Purpose-inator can do everything his previous inators did (except the Music-Video-Clip-inator, from ""Phineas and Ferb Musical Cliptastic Countdown"").","The Metal-Unearth-inator accidentally picks upPhineas'andFerb'ssuper computer, the mole that got his key and it came with it. But the force of it all blew up both the Metal Unearth-Inator and the All-Purpose-inator, before he could activate it."
3,9,"""Misperceived Monotreme""",Least Likely-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz plans to zap his brother with his ""Least Likely-inator"". It will make Roger do the least likely thing he would do, which is making a fool of himself in front of the legislation.","Doof repeatedly tries to shoot ""Perry"" until the inator blows up."
3,10,"""Candace Disconnected""",Pick 'Em Up-inatorSarcastic Norm Head,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz invents a Pick 'Em Up-inator to pickVanessaup from class so that he can watch his exercise show. Later, he decides to create more to pick up everyone in the Tri-State Area so he can force them to do whatever he wants. He also has to deal with a Sarcastic Norm Head, theNormhead prototype that has an affinity for sarcasm.",The old Norm Head gets annoyed and takes itself to Easter Island and leaves the Pick 'Em Up-Inator there.
3,11,"""Magic Carpet Ride""",Stain-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz plans on ruining his brother's art unveiling by using his Stain-inator to ruin a mysterious painting, but as it turns out, the painting is Dr. Doofenshmirtz's very own masterpiece that he created when he was a youth back inGimmelshtump, which Roger spent the last decade restoring to pristine condition.","He figures out his brother Roger was showing his painting, but before he could stop it the Stain-inator fired and the paintball ruined the painting."
3,12,"""Bad Hair Day""",Very Very Bad-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz has created the Very Very Bad-inator out of the most evil parts of his old inventions, and he attempts to see what it does.",Phineas and Ferb'sHair Style Machinetrips him and his jet skiff flies with the Very Very Bad-Inator.
3,13,"""Meatloaf Surprise""",Rotten-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz has plans to enter his family meatloaf recipe into the competition using ""hate"" as the special ingredient (as opposed to love). And just in case, he got the Rotten-inator to rot up his other opponents' meatloaves.",Doofenshmirtz accidentally hits his own meatloaf and Perry destroys the Rotten-inator by using a blender.
3,14,"""Phineas and Ferb Interrupted""",Dull and Boring-inator (Later turned into a Dynamic-inator),"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Dr. Doofenshmirtz builds a Dull and Boring-Inator, to make himself more interesting by comparison to everyone else. Perry soon helps Doofenshmirtz rebuilt it into a Dynamic-Inator to reverse the effects of the Dull and Boring-Inator on Phineas and Ferb, Doofenshmirtz under the impression that he'll zap himself to be more interesting than everyone else.",Doofenshmirtz pushes Perry when he points it on the suburbs makingLindadynamic instead of Phineas and Ferb.
3,15,"""A Real Boy""",Forget-About-It-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","When Dr. Doofenshmirtz thinks Vanessa overhears him say he would rather have a son to do his evil bidding, he feels terrible so he zaps her with the Forget-About-It-Inator. It can make the victim forget what they're currently thinking. Its effects eventually were reversed.WhenRodneytaunts Doofenshmirtz, saying that daughters are useless and sons are great help, he shows him his Super Zap Izer.","Doofenshmirtz accidentally blasts himself so he forgot how the Forget-About-it-Inator worked once he was zapped with it, so he kept pressing the fire button until it exploded."
3,16,"""Mommy Can You Hear Me?""",Chicken Soup-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz went to Tony's Deli to order a chicken soup but he argued with the owner over a fly (or raisin) that he found in the soup. He created the Chicken Soup-Inator to destroy Tony's Delicatessen and create a new deli.,"Perry kicks Doofenshmirtz into his Inator, it accidentally activates and explodes."
