Episode,Invention(s),Invention Image URL,Scheme,Failure/Destruction
"""For Your Ice Only""",Abominable-Inator,https://static.wikia.nocookie.net/phineasandferb/images/2/2a/Abominable-inator.jpg/revision/latest/scale-to-width-down/200?cb=20240128001534,"Turns himself into an abominable snowman, but in stages.","Is destroyed as he chases Agent P down a mountain, but not before changing a Zamboni ice-resurfacer to dismantle the Hockey Z-9 demonstration."
"""Happy New Year!""",Resolution-Changer-Inator,https://static.wikia.nocookie.net/phineasandferb/images/8/81/Resolution-Changer-Inator.jpg/revision/latest/scale-to-width-down/200?cb=20130407003223,Makes party-goers at a New Year's Eve party change their resolutions to making Doofenshmirtz leader of the Tri-State area.,"It turned out that no one stuck to their resolutions, hence they didn't make Heinz leader."
"""Fly On the Wall""",Feed-The-Pigeons-InatorBest-InatorHuman Head-Inator,https://static.wikia.nocookie.net/phineasandferb/images/9/91/Feed-The-Pigeons-Inator.png/revision/latest/scale-to-width-down/200?cb=20130112123016,"Suffering a case of Evil Scientist's Block, Doof uses a Feed-The-Pigeons-Inator to break the law, until Perry agrees to help break the block and builds Doofenshmirtz's Best Inator. Meanwhile,Candacemeets a fly who got shot with a Human Head-Inator, which Doof may have built.",The giant tire from Phineas' swing destroys the Best Inator.
"""Bully Bust""",Luffa-plex Dill Pickle-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Launches Doofenshmirtz's enemies into orbit.,Perry uses Doofenshmirtz's shoe to hit the insides of the inator.
"""My Sweet Ride""",Rust-inatorBoomslaka 320-I,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz plans to hit other cars with the Rust-inator and turn them into rust, winning the Doo Wop Hop car show with his Uncle Simpkin's old car.","Norm accidentally uses it on Doofenshmirtz's car. Also, in order to avoid Doof from learning about Vanessa's relationship with Monty Monogram, Perry causes the plastic gas tank to explode, launching Doofenshmirtz into space."
"""Der Kinderlumper""",Kinderlumper-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmitz plans to turn himself to a Kinderlumper so he can scare his brother Roger away making him the mayor.,"Roger wasn't scared of the Kinderlumper because his mother taught him that the Kinderlumper was a loving, caring creature. Perry destroyed it and everything hit by the ray was returned to normal."
"""Sidetracked""",Remote-Control Train Operator-inatorCloud Magnetiz-inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Attempting Bannister's scheme, he uses a remote control-like Inator in an attempt to stop Albert the moose from arriving to a ceremony, which would throw Canada into civil war.","Holding up the Inator in victory, it is shattered against the roof of the train tunnel."
"""Primal Perry""",Liam McCracken,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz hiresLiam McCracken, a professional platypus hunter, to trap Perry in the Danville Botanical Gardens.",Liam goes rogue and tries to hunt both him and Perry (whom Doofenshmirtz thinks is a different platypus without his hat and calls him Steven).
"""Mind Share""",Special shoes,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D",Doofenshmirtz tries to impress a girl that loves square dancing by creating boots that follow any command they hear.,"Doofenshmirtz's girlfriend is initially impressed, but after another song plays and Doofenshmirtz starts dancing, he confesses and his girlfriend dumps him."
"""Backyard Hodge Podge""",Eye-Fog-Inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz wants to get more royalties from the ophthalmologist's chair that he invented, so he fogs everyone's eyes.",Perry destroys the inator.
"""Bee Day""",Aroma-Inator,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D","Doofenshmirtz plans to shoot himself with the Inator, making him the King Bee.",Perry pushes the self-destruct button.
