Episode,Image URL,Big Idea,Disappearance,Notes
"""The Lake Nose Monster""",https://static.wikia.nocookie.net/phineasandferb/images/a/ad/The_Lake_Nose_Monster_Phineas_petting_Nosey.jpg/revision/latest/scale-to-width-down/200?cb=20250213225326,"They builda boatto find proof of the existence ofNosey, the Lake Nose Monster.",The undersea lab was destroyed by interference from Doofenshmirtz's lab.Marco Schnozolo was destroyed by Nosy.PhineasandFerbdecidenotto reveal the existence of the Lake Nose Monster.,"While its existence is supposed to be kept a secret, Phineas mentions the Lake Nose Monster ina later adventure."
"""Interview With a Platypus""",https://static.wikia.nocookie.net/phineasandferb/images/2/24/Animal_Translator.png/revision/latest/scale-to-width-down/200?cb=20200514164740,"They build ananimal translatorto help all theDanvilleanimals with their complaints, but fail to hear what Perry says.","It doesn't disappear, but doesn't work when Linda sees it.",The plan was originally for Perry.
"""Tip of the Day""",https://static.wikia.nocookie.net/phineasandferb/images/6/62/Phineas_and_his_Aglet_Awareness_Ribbon.jpg/revision/latest/scale-to-width-down/200?cb=20090529225921,They increasepublic awareness of the aglet.,"Doofenshmirtz intends to erase an embarrassing viral video from every mind in theTri-State Area, but accidentally erases aglets instead. Only Candace is not affected, due to not thinking of aglets in the first place.","This is the first time Phineas, Ferb, Isabella, Baljeet, and Buford perform on stage together."
"""Attack of the 50 Foot Sister""",https://static.wikia.nocookie.net/phineasandferb/images/6/6e/Shrunken_watermelon.jpg/revision/latest/scale-to-width-down/200?cb=20121222203200,They help Baljeet win the biggest-watermelon contest at the fair with agrowth elixir.,"The growth elixir falls into Doofenshmirtz's hands, who thinks it's his dirty nappy smell and puts it in hisSmell-inator, causing the whole universe to grow to an enormous size.",Baljeet asks Phineas and Ferb to help him because they had assisted him with theportalto Mars.
"""Backyard Aquarium""",https://static.wikia.nocookie.net/phineasandferb/images/8/8c/Backyard_aquarium.jpg/revision/latest/scale-to-width-down/200?cb=20110510203404,They put on anaquarium water showwith many different sea animals.,"Doofenshmirtz's Hot Dog Vendor Revenge-inator hits the water, freezing it. Candace then leans against it, causing it to slide into the ocean.","The show is organized forGoldie, Phineas and Ferb's new pet goldfish."
"""Day of the Living Gelatin""",https://static.wikia.nocookie.net/phineasandferb/images/b/bf/LivingGelatin.jpg/revision/latest/scale-to-width-down/200?cb=20110510203807,They creategiant gelatinmold in Isabella's pool.,"The gelatin monster goes down the drain, causing Phineas, Ferb and their friends to believe it's been defeated. However, it was really Doofenshmirtz calling it. It was later disintegrated by the fire extinguishers.",They later try to defeat it due to the mold becoming anevil monster.
"""Elementary My Dear Stacy""",https://static.wikia.nocookie.net/phineasandferb/images/9/9b/Candace_and_Stacy_riding_the_London_Eye.jpg/revision/latest/scale-to-width-down/200?cb=20110327015049,They make awater slide around Big Benand the London Eye.,"Doofenshmirtz's Big Ben rocket succeeds in a small take-off, destroying the slide. The rocket then lands again at Perry's command.",This is Phineas and Ferb's second water slide.
"""Don't Even Blink""",https://static.wikia.nocookie.net/phineasandferb/images/c/c1/Riding_the_Big_Obvious_Ride.jpg/revision/latest/scale-to-width-down/200?cb=20110319213427,They make afun carnival ridethat spins the user around.,"Doofenshmirtz's Invisinator zaps it, turning it invisible. Doofenshmirtz later hits it with his disintegrator ray",Phineas and Ferb make it for the purpose of finding out where their creations disappear to.
"""Chez Platypus""",https://static.wikia.nocookie.net/phineasandferb/images/0/0d/Chez_Platypus.jpg/revision/latest/scale-to-width-down/200?cb=20090717044333,"They build a trendy exclusive restaurant namedChez Platypus, which fails to succeed for the new ""Badger Restaurants"".",A company buys it and takes it away.,Their idea was inspired by a French restaurant Phineas and Ferb found disappointing.
"""Perry Lays an Egg""",https://static.wikia.nocookie.net/phineasandferb/images/3/33/Time_to_make_the_sunniest_day_ever%21.png/revision/latest/scale-to-width-down/200?cb=20200514164653,"They find an egg they think is Perry's and build aPlaty-posteriorin order to nurture it, but the machine is later replaced by Candace.",N/A,Before they found the egg their plan was to make it the sunniest day possible which didn't change anything. Candace got in trouble for this.
"""Gaming the System""",https://static.wikia.nocookie.net/phineasandferb/images/2/24/Introducing_the_game.jpg/revision/latest/scale-to-width-down/200?cb=20090530064239,They recreate avideo gameand increment it by adding immersion features.,"Thefinal bossexits the game and crushes it; however, the Digitizer apparatus still stands, so Isabella uses it to send the enemy back into the virtual world.","This is the first time Phineas and Ferb are severely injured, even to the point of death. They survive because they still have four game lives left."
"""The Chronicles of Meap""",https://static.wikia.nocookie.net/phineasandferb/images/3/36/Phineas_catches_the_baseball.jpg/revision/latest/scale-to-width-down/200?cb=20110317233310,"They fixMeap's ship in order for him to go back home, after it crashed on earth, and defeatMitch. Amidst the repairs, the boys' alien friend goes missing, so Phineas sets up acuteness meterto track Meap down.",N/A,"Before meeting Meap, they play baseball witha gadgetthey invented that can control the ball."
"""Thaddeus and Thor""",https://static.wikia.nocookie.net/phineasandferb/images/2/22/PnF_fort.jpg/revision/latest/scale-to-width-down/200?cb=20100421183708,They build abackyard fortto see whose inventions are better.,Phineas and Ferb turn the extension off to avoid zoning laws. It's unknown how they took the fort apart afterwards.,The idea of a fort is brought up Linda in theOriginal Pitch. This is the first project thatCandacemade the boys do to compete withThaddeusandThor.
"""De Plane! De Plane!""",https://static.wikia.nocookie.net/phineasandferb/images/9/93/Paper_Pelican.jpg/revision/latest/scale-to-width-down/200?cb=20090617123201,They build ahuge airplanemade of paper mache called the Paper Pelican.,It lands in the water and dissolves.,"Later on, When the Paper Pelican descended into the lake, it began to dissolve in the water because it is after all made of paper mache. It was made to beat the Spruce Goose."
"""Let's Take a Quiz""",https://static.wikia.nocookie.net/phineasandferb/images/7/75/LetsTakeAQuiz.png/revision/latest/scale-to-width-down/200?cb=20090904170930,The boys create agame show.,Doofenshmirtz's old Shrink-inator hits the set.,Candace and Buford are the contestants in the show.
