season,episode,speaker,line
2,27,Phineas,"I don't know about you, Ferb, but I think bubbles have a great sense of humor. Look at what that bubble's doing to my face. (laughs) You make me laugh out loud, bubble."
2,27,Baljeet,Hello!
2,27,Phineas,"Hey, Baljeet."
2,27,Baljeet,What are you guys doing?
2,27,Phineas,We're blowing bubbles and relaxing.
2,27,Baljeet,"Oh, I remember being relaxed, but that was before I had this! (shows Phineas and Ferb a schedule)"
2,27,Phineas,That looks like a color coded schedule.
2,27,Baljeet,"That's because it is. Every minute of my entire day is planned out right here. Remember how you told me to seize the day? Well, consider it seized!"
2,27,Phineas,That's not exactly what I meant.
2,27,Buford,"Hey, is it time for me yet?"
2,27,Baljeet,"Not quite. (brief pause) Okay, now. (Buford licks his finger and sticks it in Baljeet's ear)"
2,27,Phineas,Do you have any extra time for a bubble?
2,27,Baljeet,"Uh, I guess I have time for one."
2,27,Buford,"Oh, oh! Can I blow a huge one so I can crawl inside it and float around like a little woodland pixie? (stops, realizing his mistake) Did I just say that out loud?"
2,27,Phineas,"Yes, yes you did. But that actually sounds fun minus the pixie part. Ferb, I know what we're gonna do today! There's no better way to see Danville than from inside a huge bubble."
2,27,Buford,I wanna float around! (again realizing his mistake) Like men.
2,27,Phineas,"Wanna come, Baljeet?"
2,27,Baljeet,My schedule is extremely tight. I doubt I even have a second to answer your question. Maybe if I move my polka recital back. Okay.
2,27,Phineas,Great! So you're coming?
2,27,Baljeet,"No! I moved polka back so I could answer your question! It would take some major rearranging, but I think I can at least come and watch you make the bubble."
2,27,Phineas,"Awesome! Hey, where's Perry?"
2,27,Baljeet,Haha! Right on time! I had Perry's absence on my schedule!
2,27,Major Monogram,"Shh! Quiet, Carl! He's coming!"
2,27,Major Monogram/Carl,Surprise!
2,27,Carl,Alright!
2,27,Major Monogram,"Happy Birthday, Agent P! (blows into kazoo) (awkward pause) It's not your birthday, is it? (Perry shakes his head) Are we close?"
2,27,Carl,Told ya!
2,27,Major Monogram,"Put a sock in it, Carl! (clears throat) I, uh, was a bit too busy planning your party, so I'm not sure what Doofenshmirtz is up too, but I am sure that it's no good. Get to the bottom of it!"
2,27,Linda,"So, Candace, are you ready to do some practice driving for your permit?"
2,27,Candace,I'm easing my way into the driver's seat. I start with what's familiar and slide into the new.
2,27,Linda,Well start sliding. We've got errands to run.
2,27,Candace,"Okay, you drive!"
2,27,Linda,Your dad says you're already good at parallel parking.
2,27,Candace,That was in the backyard! That's way different than the open road!
2,27,Linda,"Candace, I thought you wanted to be the first of your friends to have a driver's license."
2,27,Candace,"Okay, I'm sliding."
2,27,Doofenshmirtz,"Ah, Perry the Platypus, I'm so glad you're here. I did get your invite to your birthday party over the internet, and naturally, I couldn't go, since it was most likely a trap. Anyway, I got you this. (hands Perry a birthday card) It's just a card, but here you go. (card traps Perry) Surprise! Haha! I finally figured out why my evil schemes always fail. You see, I am totally, completely, unlikeable. No, really, so I asked myself, ""what are the two most liked things on the planet?"" The answer? Country music and western music. So now, I'm bringing them together for the first time. I'm calling it ""Country and Western Music."" I know, I know. I'm brilliant, right?"
2,27,Phineas,"Great bubble design, Ferb. Now all we need is the missing bubble ingredient."
2,27,Isabella,Hey guys. Whatcha doin'?
2,27,Baljeet,Making changes to my schedule.
2,27,Phineas,"We're building a machine to make the biggest, most durable bubble ever."
2,27,Baljeet,"Oh, right. Nobody ever asks what Baljeet is doing."
2,27,Phineas,"We have just about everything we need for our durable bubble, but if you guys wanna help out, we still need some sap from a maracanut tree."
2,27,Isabella,"Yeah, we can definitely do that."
2,27,Phineas,"Excellent! While they're doing that, we can finish the design on the transponder. See you girls back at the field!"
2,27,Doofenshmirtz,"I know what you're thinking, ""But Doof, you have a terrible singing voice! Well, feast your eyes on this little baby! (unveils a cowboy hat) Ta-da! I call it the Yodelinator! Pretty cool, eh? Oh, right. You just think it's a big cowboy hat. It's so much more! (presses a button on the hat) See? Huh? See? It's designed to make my singing voice sweet and mellifluous. So, my first gig is in an hour. Come on, you can help me hand out fliers. Everyone's going to (singsong) love me!"
2,27,Linda,"You can do this, Candace! Just look into the turn and ease your foot off the brake."
2,27,Candace,"I'm l-l-l-l-looking into the turn....(gasps as she sees Phineas, Ferb, and the rest of the kids with the bubble machine in the park) (just as a bus with two monsters on the side pulls up, blocking the view) Mom, look! Phineas and Ferb!"
2,27,Linda,"Candace, I don't find that funny."
2,27,'Candace,'No! Behind the bus! (honks horn) They were building some kind of contraption! I'll show you! (swerves left)
2,27,Linda,"Oh good. Now we're-- Candace, slow down!"
2,27,Phineas,"Nice work as usual, Ferb! All we need now is the final ingredient."
2,27,Isabella,"Hey, Phineas! We got the sap you guys needed. Here! (hands him a vial)"
2,27,Phineas,"Thanks! (pours sap into bubble machine. Ferb pushes a button and turns a valve. The machine begins blowing the giant bubble, which slowly encases the gang as Phineas speaks) At this stage, the maracanut sap isn't fully congealed. So we can pass through the semi-permeable membrane with ease. (bubble walls give way and he is inside the bubble) Voila!"
2,27,Isabella,"Girls, I think we just earned our Passing-Through-A-Semi-Permeable-Membrane patches! (Fireside Girls cheer)"
2,27,Candace,"See, there they...... (they see only the machine)"
2,27,Linda,"Perhaps I should get tired of asking this, but....what am I supposed to be looking at?"
2,27,Candace,"Ugh! They were right there in the...(sees the bubble floating behind a building) Hold onto something, Mom. (floors the accelerator)"
2,27,Baljeet,"Well, that was very entertaining, but that is all the time I have scheduled for. (notices how high they are) Oh, wait. You are already airborne. And I am already still with you. (begins to panic a little) I do not believe this! My schedule is totally blown! I am going to miss my polka recital!"
2,27,Buford,I've heard you. It's a small loss.
2,27,Linda,"Candace, trash cans again!"
2,27,Candace,"Oops, heh heh. My bad. Where'd they go? (sticks her head out the window to see them floating away)"
2,27,Linda,"Candace, I think we've all had enough of your driving!"
2,27,Candace,"Not now, Mom! I have to get this car into the sky! (drives at full speed again)"
2,27,Linda,(screaming) Candaaaace!
2,27,Baljeet,"Oh, no! How long are we going to be up here?"
2,27,Phineas,(reclining) Awhile.
2,27,Baljeet,And...and how do you even STEER this thing?
2,27,Phineas,We're at the mercy of the breeze.
2,27,Baljeet,"(laughs nervously) Sure, when you say it like that, it sounds relaxing."
2,27,Phineas,Hey everybody! Downdraft! (They float down and pass under a bridge)
2,27,Baljeet,"Oh no, look out! Power lines!"
2,27,Isabella,"Girls, you know what to do!"
2,27,Isabella and the Fireside Girls,"Leeeeaaaannnn! (they all slam against the side of the bubble and it swerves, avoiding the power lines. Everyone cheers)"
2,27,Baljeet,Cactus garden!
2,27,Isabella,"Lean! (this time, everyone slams against the side and the bubble swerves into an alleyway)"
2,27,Baljeet,PUBLIC ART!
2,27,Gretchen,"With our angle of descent, leaning will be ineffectual!"
2,27,Everybody else,What?
2,27,Gretchen,We're gonna craaash!
2,27,Baljeet,Oh no! I knew I should not have forsaken the rigid beauty of my candy-colored schedule!
2,27,Phineas,The bubble is expanding. It's Baljeet's breathing! (Baljeet keeps going) It's blowing the bubble up! Everybody breathe heavy like Baljeet!
2,27,Fireside Girls and Isabella,Yes sir!
2,27,Phineas,"We're doing it! (Everyone cheers) Baljeet, you totally saved us!"
2,27,Baljeet,"When in danger, I always hyperventilate."
2,27,Cowboy singer,"Thank you, everyone! Thank you very much!"
2,27,Doofenshmirtz,"I'm next, Perry the Platypus. After this concert, I will be the most well liked man in the Tri-State Area!"
2,27,(Song,Yodel Odel Obey Me)
2,27,Person 1,I like that guy!
2,27,Person 2,Yeah! Let's do whatever he says!
2,27,Person 2,He's terrible!
2,27,Person 3,Yeah! It stinks so bad I wanna break somethin'!
2,27,Person 3,That really wasn't worth it.
2,27,Person 2,You can't mix country and western! They's two completely different types of music!
2,27,Person 4,That song was horrible!
2,27,Person 5,"Yeah, those lyrics was way too on the nose!"
2,27,Doofenshmirtz,"Okay, that wasn't as successful as I'd hoped.... (grabs jet-pack and puts it on) but at least I can beat a hasty retreat before I'm too humiliated!"
2,27,Doofenshmirtz,"Huh? (laughs nervously) For your information, I had these way before I met you. (jet-pack shoots by and he walks away) (Halfheartedly) Okay, see you tomorrow."
2,27,Linda,"Candace, watch where you're going!"
2,27,Candace,They're around here somewhere. (she sees the bubble) Ooh! Ooh! (laughs crazily) There they are! Headed for the old drawbridge! You're mine!
2,27,Linda,"Candace, stop!"
2,27,Candace,"I can't! (the drawbridge opens and they rocket into the sky. Linda screams and covers her eyes. The bubble floats in front of them) There they are! I told you! I--Mom, open your eyes!"
2,27,Linda,(terrified) Not until we're back on the ground!
2,27,Candace,(they shoot past the bubble) Mooooom!
2,27,Phineas,That was Candace driving.
2,27,Ferb,Her car control has gotten a lot better.
2,27,Candace,"Mom, we're back on the ground! Ahhhhhhh! (eye twitches)"
2,27,Linda,"Okay Candace, now just gently...apply...the brake."
2,27,Candace,I'm tryiiiiing!
2,27,Baljeet,"Wow. This whole relaxation thing is...well, relaxing."
2,27,Linda,"Candace, at least take your foot off the gas."
2,27,Candace,"(enraged) Oh, you think? You think?! (lifts her foot) There! How's that?! Is that better!?!"
2,27,Linda,"Well, guess your father was right. You do have parallel parking down."
2,27,Candace,Look! There they are!
2,27,Linda,"Candace, I can't see anything. ""They"" who?"
2,27,Candace,"The boys! They're up in there in the -- (the bubble pops, releasing the kids onto the rides) Ugh."
2,27,Linda,"Oh, hi boys!"
2,27,Phineas,"(riding a bouncy animal) Hi, Mom! Nice parking, Candace."
2,27,Candace,"What?! No! It's not -- but they were up -- (leans on the car wheel, setting off the horn)"
2,27,Phineas,"Well, Ferb, I guess we should consider this day: Seized. (sees Perry) Oh, there you are, Perry."
2,33,Lawrence,"Hello, boys, I thought I heard a noise out here."
2,33,Phineas,"Oh, hey Dad."
2,33,Lawrence,"Say, there is something pretty peculiar going on here, now, don't tell me! You turned the entire garage upside-down, now why on earth would you do that?"
2,33,Phineas,We're searching for Ferb's favorite skateboard.
2,33,Lawrence,"(yelling to Linda) Dear! Are you aware the boys have turned the garage upside-down, looking for Ferb's skateboard?"
2,33,Linda,(offscreen) As long as they clean up after!
2,33,Lawrence,"Oh, right-o. (to Phineas) Ooh, just a minute, does that skateboard have a Union Jack on the bottom?"
2,33,Phineas,That's the one!
2,33,Lawrence,Turn the thing right-side up and come in the house. I believe I solved your mystery.
2,33,Phineas,"You heard him, Ferb. Let's turn it over."
2,33,Phineas,"So, what have you got, Pop?"
2,33,Lawrence,Take a gander what a certain old geezer posted on his blog.
2,33,Phineas,"Hey, it's Grandpa! (chuckles) Ferb, he must have left your skateboard in England the last time we were there. I know! We could create a highly intricate and sophisticated machine, that will transport any object from anywhere on the globe to our backyard!"
2,33,Lawrence,"Well, why don't you just build a new skateboard?"
2,33,Phineas,"Nah, I don't think so."
2,33,Ferb,"If it's all the same with you, Father, we're going to build the machine."
2,33,Candace,"Whoa, Mom. What's with the getup?"
2,33,Linda,"I'm on my way to join Vivian Garcia-Shapiro, at the Mexican-Jewish Cultural Fair today. Would you like to come along?"
2,33,Candace,"Let me think...um, no."
2,33,Linda,"(leaving) Oh, well, suit yourself, bubelita!"
2,33,Phineas,Let's give her a trial run. Start with something small.
2,33,Buford,"Check it out, dweebs! Betcha can't shoot this apple off my head."
2,33,Buford,"(at the camera) Hmm, not really what I meant. But, okay."
2,33,Buford,"But I still got my apple here, William Tell!"
2,33,Buford,Nice buzz cut. High and tight.
2,33,Phineas,"Hey! It worked. Now, let's try it on something more complex."
2,33,Buford,"I'm complex! Really, I'm like an onion."
2,33,Buford,Whoa. It's like there's thousands of you guys.
2,33,Phineas,Oops! (inserts another picture and presses button) I forgot to install the Fly Filter. Better try that again...
2,33,Phineas,"Sorry, Buford. Are you all right?"
2,33,Buford,I have a weird craving for something stinky.
2,33,Phineas,"He's all right. (gives Ferb a photo) Okay, Ferb, let's get that skateboard before Grandpa breaks his neck."
2,33,Reginald,What in blazes— (he tumbles backwards)
2,33,Phineas,Yes! It worked! (looks at the feet on the skateboard) Oops.
2,33,Reginald,"I say, that's peculiar. My bloomin' feet have gone missing."
